alias,nodeId,p2p,ping (tcp),ping (udp)
null,0x35338d61aa4e13914b50394b69590f3d8fe15929,false,10s,183ms
null,0x1d80932c8dd0101c86f61686b67f92301a697676,false,138ms,96ms
null,0x18a0d029598e720de221dd4b4917c28e09978fcf,false,10s,57ms
null,0x29e9ea451069de89676297fd2ca9cc381d4ff5f2,false,166ms,166ms
null,0xb0a0d851186e29e8bf2f2a7277ed43d9a3cf17fa,false,10s,154ms
null,0x18bc69f6c71f550d43d33cd94c14ebb6eb0a5e86,false,211ms,211ms
null,0xc770f90ef7e7f2d463ab2d298a8c2345424fe88b,false,158ms,158ms
null,0x130bab791b3455546f3260f2389b4641fa38308f,false,91ms,91ms
null,0xaa97fe014fc7b06947e94fe6253a4d9e80593d5c,true,23ms,23ms
null,0x589d4d314625ab495dd4fc2ababa4ff94cc5ff82,false,491ms,192ms
null,0x64bbb7180445eda03db32131c28386995b3b5ccd,false,62ms,63ms
null,0x82cf3d0472d270fab96e7a061f343b79fee4e480,false,10s,44ms
null,0x58ce7c7b7d2c700ee8938775db2f4cb0d2b85fc6,false,10s,154ms
null,0xb58979d60830a557f9e4c6d5627983ef0e5d77e2,true,63ms,63ms
null,0x7bddea797b62519d38e4c98446abd158c135ef92,false,129ms,126ms
null,0xc7da719252ce5e12fcca5c0ea8f46ccf2f50570d,false,106ms,105ms
null,0xd6b377d22cd765a6d6d3ab3fcb4b18dfcba19b63,false,162ms,161ms
null,0xa8f39521a55d64e0f9b63db64ad81e4ce414fc0b,false,96ms,86ms
null,0x3c605984250d752adf34a072f2354b2ce23af7fa,false,62ms,62ms
null,0x7ab07e30a377a8f74225445b7e913e366d38b584,false,66ms,62ms
null,0xe4307f490ce44955b8589f9492f2819bef8bef8b,false,372ms,365ms
null,0x964cffd7f02044e66d60f00c95adc122a7545309,false,149ms,149ms
null,0xd4818ff61fba8f7170e9cb19e1442067f57f7ba8,false,100ms,100ms
null,0xedb84bf623193e80b5d021347c88c75614847464,false,74ms,74ms
null,0xa2bf9c018638e6de9c89a38287ae59185235127f,false,70ms,70ms
null,0xb8e29e760b892ab2ad203a444de0b0b1f2e1ab53,false,71ms,71ms
null,0xbab613e0c396a117342b5b0a1ce5789ee5225bda,false,10s,105ms
null,0x367b3c780bb9944db5eae0d393fad8fb124a9f30,false,72ms,70ms
null,0x49a29b7bd58f745c8af46bb7293a73a5be868423,false,106ms,90ms
null,0x63646e28c778c228ee2373489088e099d2ca74c8,false,62ms,62ms
null,0x4e8dc3dae18dffbfaae075dc2685e2c9af35e3d8,false,10s,10s
null,0xdae172bb0c8fe072fc526b1c8a55188f7ec8f165,false,106ms,102ms
null,0x0dd2f8799502864cf452abab014dd299c28808e0,false,10s,278ms
null,0xea1a3215703ce69c09ba0d997dbd149a3856f31d,true,44ms,42ms
null,0x20528c985f30fcb5ea57e0775eff0b47ed949411,false,80ms,70ms
null,0x5a909d6d130e399a1a5c42ccf98703a5f1c6ce23,false,101ms,97ms
null,0x14a0e4286de5229fbac424893cb8ac831da1bd2d,false,105ms,95ms
null,0x186fd6e1a5ab0b9924d6b42be54fb87313dc6deb,false,62ms,45ms
null,0x5ae25a3b1a68a9473d7123d3089c36395a7cd244,false,79ms,70ms
null,0x601c7d2dd373df07f13b7d59305a5276db6d51f2,false,105ms,95ms
null,0x6eed698db85525ff6b11787be781de77cbd970b6,false,10s,70ms
null,0x6f59e5d12a53bb6a3873b1fcd6279dd2436feffc,false,88ms,64ms
null,0x7ba0208dd40d191694fa217bb4c46d7a284c6a96,false,105ms,95ms
null,0x7cfe03cd09b5eba84ea52f17d9baa2c0e3990fac,true,120ms,108ms
null,0x8d6088509e0de9f37917de1356f9deeab2ebfc72,false,105ms,92ms
null,0x8f05781661b27c09f38c19e7ff4491a6bfedd347,false,77ms,71ms
